 , degree, betweeness, closeness, random
23.18776, 0.24224, 1.57972, 0.33355, 0.14294
23.40050, 0.24370, 1.56791, 0.32987, 0.14296
23.61323, 0.24740, 1.55182, 0.33202, 0.14295
23.82596, 0.24614, 1.54518, 0.32921, 0.14292
24.03869, 0.24337, 1.54532, 0.32925, 0.14293
24.25142, 0.24094, 1.52333, 0.33015, 0.14292
24.46416, 0.23915, 1.50714, 0.32627, 0.14293
24.67689, 0.23730, 1.50652, 0.32632, 0.11907
24.88962, 0.23422, 1.50512, 0.31983, 0.11908
25.10235, 0.23248, 1.50318, 0.31971, 0.11909
25.31508, 0.23281, 1.49986, 0.31284, 0.11910
25.52781, 0.23149, 1.48887, 0.31293, 0.11910
25.74055, 0.22779, 1.48750, 0.30445, 0.11909
25.95328, 0.23187, 1.45570, 0.30409, 0.11909
26.16601, 0.23325, 1.45541, 0.30218, 0.11910
26.37874, 0.23317, 1.45118, 0.30194, 0.11910
26.59147, 0.23336, 1.44743, 0.30055, 0.11910
26.80421, 0.23351, 1.42612, 0.29952, 0.11911
27.01694, 0.23040, 1.41383, 0.29442, 0.11912
27.22967, 0.22917, 1.40578, 0.29351, 0.11913
27.44240, 0.22819, 1.40612, 0.29442, 0.11914
27.65513, 0.22477, 1.39004, 0.29315, 0.11914
27.86786, 0.22496, 1.38698, 0.29347, 0.11915
28.08060, 0.22895, 1.37382, 0.29329, 0.11915
28.29333, 0.22985, 1.36184, 0.28945, 0.11914
28.50606, 0.22608, 1.36030, 0.28612, 0.11915
28.71879, 0.22614, 1.35055, 0.28456, 0.11914
28.93152, 0.22724, 1.33987, 0.28497, 0.11915
29.14425, 0.22524, 1.33768, 0.28096, 0.11920
29.35699, 0.22522, 1.32493, 0.28136, 0.11923
29.56972, 0.22525, 1.32508, 0.28075, 0.11922
29.78245, 0.22356, 1.31655, 0.27953, 0.11923
29.99518, 0.22172, 1.31379, 0.27951, 0.11922
30.20791, 0.22079, 1.31128, 0.27694, 0.11923
30.42065, 0.21986, 1.29566, 0.27673, 0.11923
30.63338, 0.21714, 1.29121, 0.27018, 0.11922
30.84611, 0.21585, 1.29176, 0.27020, 0.11923
31.05884, 0.21415, 1.28860, 0.27457, 0.11920
31.27157, 0.21385, 1.27140, 0.27470, 0.11918
31.48430, 0.21181, 1.26882, 0.27344, 0.11916
31.69704, 0.20931, 1.25510, 0.27359, 0.11914
31.90977, 0.20874, 1.25440, 0.27103, 0.11915
32.12250, 0.20857, 1.25323, 0.27145, 0.11914
32.33523, 0.20815, 1.25116, 0.27148, 0.11915
32.54796, 0.20799, 1.24918, 0.27068, 0.11916
32.76070, 0.20681, 1.24916, 0.27074, 0.11917
32.97343, 0.20586, 1.24747, 0.26920, 0.11918
33.18616, 0.20580, 1.22255, 0.26688, 0.11920
33.39889, 0.20512, 1.22106, 0.26436, 0.11919
33.61162, 0.20539, 1.22192, 0.26460, 0.11920
33.82435, 0.20441, 1.21896, 0.26489, 0.11920
34.03709, 0.20379, 1.21678, 0.26362, 0.11920
